Index,Nama_kota,provinsi,Garis Kemiskinan (rupiah/kapita/bulan),Jumlah Penduduk Miskin (ribu),Persentase penduduk miskin,Jumlah Penduduk,Rata-rata Pengeluaran per Kapita Sebulan  - Makanan,Rata-rata Pengeluaran per Kapita sebulan - Bukan Makanan,Persentase pengangguran,rata-rata lama sekolah,IPM
1,Kep Seribu,DKI Jakarta,743820,3.47,13.13,28.5,782803,532298,8.11,9.03,75.91
2,Jakarta Selatan,DKI Jakarta,891580,71.9,3.1,2235.6,1042961,1700682,5.37,11.96,86.71
3,Jakarta Timur,DKI Jakarta,669713,124.22,4.2,3079.6,989547,1525380,7.24,12.03,84.26
4,Jakarta Pusat,DKI Jakarta,784679,42.78,4.68,1049.3,1039262,1388135,6.42,11.57,83.29
5,Jakarta Barat,DKI Jakarta,657247,109.49,4.09,2470,1084076,1922723,6.39,11.23,83.85
6,Jakarta Utara,DKI Jakarta,684557,125.98,6.78,1808.9,1149089,2033340,7.05,10.9,81.85
7,Bogor,Jawa Barat,482174,453.76,7.27,5627,658891,590108,8.47,8.86,73.02
8,Sukabumi,Jawa Barat,392705,178.71,7.01,2802.4,707483,545996,7.32,7.84,69.71
9,Cianjur,Jawa Barat,437327,240.06,10.22,2558.1,619285,421252,7.71,7.38,68.18
10,Bandung,Jawa Barat,426069,245.49,6.4,3721.1,655809,633214,6.52,9.36,74.03
11,Garut,Jawa Barat,367681,260.48,9.77,2683.7,588794,450794,7.33,8.25,69.22
12,Tasikmalaya,Jawa Barat,378958,186.87,10.28,1907.1,595685,472007,3.89,8.31,69.38
13,Ciamis,Jawa Barat,442108,90.84,7.42,1251.5,698739,544926,3.52,8.45,73.12
14,Kuningan,Jawa Barat,402767,133.88,12.12,1201.8,612843,508758,9.49,8.23,70.99
15,Cirebon,Jawa Barat,451853,249.18,11.2,2360.4,675859,554832,7.65,8.3,71.81
16,Majalengka,Jawa Barat,520713,138.74,11.21,1340.6,623008,519844,4.12,7.95,70.76
17,Sumedang,Jawa Barat,396573,111.39,9.36,1178.2,752352,653586,6.94,9,74.02
18,Indramayu,Jawa Barat,532545,214.74,12.13,1894.3,861963,607068,6.46,7.51,70.19
19,Subang,Jawa Barat,404320,152.33,9.52,1649.8,699820,558082,7.65,8,71.42
20,Purwakarta,Jawa Barat,434187,81.54,8.46,1037.1,778929,674189,7.72,8.36,73.43
21,Karawang,Jawa Barat,555889,187.23,7.87,2526,766635,719589,8.95,8.5,73.25
22,Bekasi,Jawa Barat,632811,204.09,4.93,3237.4,829997,940217,8.87,9.87,76.13
23,Bandung Barat,Jawa Barat,426355,179.43,10.52,1859.6,607955,522515,8.11,8.41,70.33
24,Pangandaran,Jawa Barat,447242,36.7,8.98,431.5,720756,572884,1.52,8.37,70.57
25,Kota Bogor,Jawa Barat,661384,74.95,6.67,1070.7,950587,1782683,9.39,10.62,78.36
26,Kota Sukabumi,Jawa Barat,644276,24.96,7.5,360.6,883522,1389812,8.53,10.45,77.16
27,Kota Bandung,Jawa Barat,591124,102.8,3.96,2506.6,988394,1488389,8.83,11.09,83.29
28,Kota Cirebon,Jawa Barat,520579,29.49,9.16,342,788126,1040035,7.66,10.47,77.45
29,Kota Bekasi,Jawa Barat,795965,129.4,4.1,2627.2,1071963,1637251,7.9,11.74,83.06
30,Kota Depok,Jawa Barat,804984,61.95,2.38,2145.4,1072981,1539193,6.97,11.55,82.53
31,Kota Cimahi,Jawa Barat,590197,28.56,4.66,590.8,926511,1256491,10.52,11.33,79.69
32,Kota Tasikmalaya,Jawa Barat,537497,79.37,11.53,741.8,845787,871776,6.55,9.72,75.47
33,Kota Banjar,Jawa Barat,408710,11.66,6.14,207.5,732004,656997,5.43,8.99,74.45
34,Pacitan,Jawa Timur,352606,76.2,13.65,588,486370,447284,1.83,7.88,71.49
35,Ponorogo,Jawa Timur,395069,83.71,9.53,959.5,557950,579361,4.66,7.78,73.7
36,Trenggalek,Jawa Timur,411527,74.58,10.63,741.2,499323,455796,4.52,7.9,72.47
37,Tulungagung,Jawa Timur,423875,68.81,6.53,1107.8,593856,584081,5.65,8.66,75.13
38,Blitar,Jawa Timur,387733,101.94,8.69,1253.6,518580,534634,4.91,7.83,73.44
39,Kediri,Jawa Timur,385874,171.18,10.72,1677.2,577205,464645,5.79,8.24,75.18
40,Malang,Jawa Timur,399647,251.36,9.45,2715.6,618371,579251,5.7,7.75,73.53
41,Lumajang,Jawa Timur,386995,93.82,8.93,1139.1,718784,597504,3.67,7.14,70.31
42,Jember,Jawa Timur,441171,236.46,9.51,2586.8,569040,484513,4.01,6.52,70.93
43,Banyuwangi,Jawa Timur,448928,119.52,7.34,1743.9,642992,661152,4.75,7.76,74.3
44,Bondowoso,Jawa Timur,494000,105.13,13.34,788.2,554571,480896,4.15,6.36,71.22
45,Situbondo,Jawa Timur,396587,82.62,11.9,697,548337,452918,3.27,6.9,71.22
46,Probolinggo,Jawa Timur,514274,205.02,17.19,1176.9,518809,402550,3.24,6.29,70.85
47,Pasuruan,Jawa Timur,429624,154.09,9.24,1644.5,608993,528064,5.48,7.44,72.36
48,Sidoarjo,Jawa Timur,571696,119.15,5,2148.7,824954,1117683,8.05,10.78,82.67
49,Mojokerto,Jawa Timur,486520,112.86,9.8,1145.5,739483,615585,4.67,9.11,76.69
